0.0	01 PNG: two agents disagree
9.3	02 PNG: the sealed escrow
14.5	03 evidence: opinion vs re-execution
29.3	01 evidence: live page, bytecode check
29.3	CARD 01 No key can move the money.
49.2	07 PNG: the rejected stream
54.4	CARD 02 A real proof can still be the wrong proof.
62.2	02 evidence: fund
70.6	02 evidence: BindingMismatch
94.8	CARD 03 Nobody approves it.
98.3	03 evidence: what it replaces
109.3	CARD 04 The money stays on Arc.
114.5	04 evidence: four settlements
125.5	CARD 05 This is not a bridge.
129.3	17 SVG: out to Arc, scope held
138.5	CARD 06 A proof of the payout. Not a proof of the state.
145.6	06 evidence: the two rows
162.2	07 evidence: typing
176.3	CARD close
183.3	END
